"";"x"
"19320";"@Mandravelis Αυτό ακριβώς είσαι και δεν το έχεις καταλάβει. Ψεύτο αριστερός. Βρες μου έναν αριστερό ιδεαλιστή που δεν σας έχει απαρνηθεί!! Συριζοφασιστες!"
"19321";"#συμβουλευτική #ψυχοθεραπεία #δωρεάν "
"19322";"της 5ης Μαρτίου 1943, 600 Ιταλοί στρατιώτες πέρασαν τη γέφυρα του Αλιάκμονα, και το μεσημέρι επιτέθηκαν στις θέσεις των ανταρτών στα υψώματα της Σιάτιστας. Με τις δυνάμεις του ΕΛΑΣ ενώθηκαν και περίπου 60 ένοπλοι της ΕΚΚΑ. Το επιτελείο του ΕΛΑΣ/ΕΚΚΑ διέταξε την περικύκλωση και "
"19323";""
"19324";"Κάτι τέτοιες ώρες σκέφτομαι πόσο δίκιο είχαν οι παππούδες μας και πόσο άδικο ο Καραμανλής..."
"19325";"υπέροχη η εκπομπή σήμερα τα λέμε αύριο πάλι!! #kalytera"
"19326";"@Nikolasssdj Καλό βράδυ Νίκο <U+0001F602><U+0001F618>"
"19327";"@lekavlen @tinabdrk Εν τω μεταξύ, διάβασα δέκα μηνύματα παρακάτω για να σιγουρευτώ ότι (το νορμάλ θα ήταν αυτό) δεν τρολαρει."
"19328";"Η <U+02BC>ντζελα δεν έχει ίδια ηλικία με την Ναταλία; #kalytera"
"19329";"-| Πώς είδαν οι οικονομολόγοι το ΑΕΠ του 4ου τριμήνου |-"
"19330";"«Γενικ<U+1FF6>ς βεντέττα μέ τούς Μητσοτάκηδες <U+1F45>σο καί <U+1F04>ν α<U+1F50>τοί δέν τήν <U+1F10>πιδιώκουν, δέν <U+1F00>νοίγεις. Θά τήν βρε<U+1FD6>ς ε<U+1F34>τε <U+1F00>πό τούς Κρ<U+1FC6>τες ε<U+1F34>τε <U+1F00>πό τόν Θεό.» "
"19331";"#ΟΕΝΓΕ"
"19332";"Πάλι ψέμματα και ακροδεξιό παραλήρημα."
"19333";"#Erdogan"
"19334";"Χαμός θα γίνει στα επόμενα επεισόδια"
"19335";"@latinopoulou Ξυδακι προδότες ζαιοι"
"19336";"@ypopto_mousi Με το μπαρδόν, τι είναι αυτο;"
"19337";"@Tsikou_ Εσύ αρχικά υπονόησες ότι έχουν αυξηθεί οι εισφορές (αφού με 50% φτηνότερο πετρελαιο είναι ίδια η τιμή), μετά είπες ότι ενώ είπε ότι θα τις μειώσει δεν το έκανε (άρα είναι απατεώνας) και τώρα μου λες για τα έπιπλα του πατούλη. Δεν πάνε μόνο σε μ@λακίες τα δημόσια έσοδα (ΣΟΚ?)"
"19338";"@dobos21 @C_Amerikanou Ψιτ φιλος μεσα σ ολα προσθεσε και την καλυτερη Υπ. Παιδειας που περασε ποτε... "
"19339";"@John_Fletcher70 @HrissyD Η φωτο δεν ειναι απο Λεσβο,αλλα αυτοι οι Ναζι ηταν στην Λεσβο, και πηραν αυτο ακριβώς που τους άξιζε."
"19340";"@Mickel_ang Στο πίσω μπαλκόνι υποθέτω"
"19341";"@stathisdrogosis Όπως έγραψε και ένας γνωστός μου, ""αυτά τα θέματα λύθηκαν την στιγμή που οι εκκλησίες αποφάσισαν να τοποθετήσουν αλεξικέραυνα"""
"19342";"@rapidis Σου αρέσει να προκαλείς ε? Γιατί δεν πας να τουρκεψεις? Δεν είναι πιο απλό? Η ζωή σου θα αλλάξει και πλέον αυτό που θα λες θα έχει μια αξία για τους Τούρκους βεβαια..."
"19343";"@lamprinaki5 δεν καταλαβα τιποτα"
"19344";"Καλό Σαββατοκύριακο!!<U+0001F60A><U+0001F31E>"
"19345";"Σαν σήμερα, το 2001...ο Sir Alex ρώτουσε, ο Σεϊταρίδης απαντούσε και ο Παναθηναϊκός πραγματοποιούσε μια από τις πιο όμορφες Ευρωπαϊκές εμφανίσεις του παίζοντας στο μισό γήπεδο την πανίσχυρη τότε Manchester United."
"19346";"#sansimera #panathinaikos #mufc #ucl"
"19347";"στην πανσέληνο θα εχουμε το ξέσπασμα του κωροναιου, θα πουν ότι εχουμε πανδημία; σωπα καλέ..απο τον Γεναρη τα είπαμε...εξεπίτηδες αργούν. Αυτό στο πρώτο εξάμηνο,να δεις στο δεύτερο τι ερχεται. Ο ιός θα κρατήσει μήνες."
"19348";"Κάποιες γυναίκες απ τα σόσιαλ, δεν θα τις γνωριζε ούτε η μάνα τους με τόσα φίλτρα κ φωτοσοπιες που χρησιμοποιουν για μία φωτογραφία... Η αβάσταχτη ελαφρότητα της ματαιοδοξίας..."
"19349";"@MarinaKarakanta @dim70 Εγώ το βρήκα στις χρώσεις της Vodafon"
"19350";"Να κλεψω το βιντεο για τουιτ?"
"19351";"@alexpapa2004 @rapidis @AdonisGeorgiadi Πολύ καλό!!!"
"19352";"Παει η Τζενη #adinamoskrikosgr"
"19353";"Χτίσε Σιδερένιο Κορμί! Δες όλα τα πακέτα για Αύξηση μυικής μάζας <U+2714>    #Fit #Healthy #ΜυικήΜάζα "
"19354";"@Belogiannis"
"19355";"<U+26BD><U+FE0F><U+26AB><U+FE0F><U+0001F9D0>"
"19356";"Και κοροϊδεύουμε τον Κυρίτση, τον Αρβανίτη, τον Βαξεβάνη την νεολαία ΣΥΡΙΖΑ &amp; τους άλλους χαβαλέδες που άδειασε ο σκαφάτος χοντρομπουτάς με τα πούρα, από το ... ΜEGA κοροϊδάρα!"
"19357";"@IrisofLinton Για να μην πει περι εισβολής"
"19358";"Ενοχλημένη η <U+02BC>γκυρα από τη στήριξη της ΕΕ στην Ελλάδα "
"19359";"@namenotfound_ Σαντιγί στο ένα...μερέντα στο άλλο! Και επειδή σου έχει τελειώσει η μερέντα, έρχομαι να το πάρω μη πάει χαμένο!"
"19360";"@Loukas_7 Μα έχει τοποθετηθεί επ'αυτου η Αριστερά, την έχει χαρακτηρίσει κοινωνική εξέγερση κατά της τότε άρχουσας τάξης. Όλα κομπλέ."
"19361";"@myriam_zee Πάντως είναι πτώμα Σορι αλλά δεν είπε ψέματα..."
"19362";"Ο συνωμοσιολόγος καθηγητής έχει όλα τα προσόντα για να κάνει πολιτική καριέρα, με πελατειακή βάση τους ανά την Επικράτεια ΨΕΚΑΣΜΕΝΟΥΣ! Είμαι βέβαιος ότι θ' ακολουθήσει λίαν συντόμως δήλωσή του ότι λατρεύει Βελόπουλο και Τσίπρα!<U+0001F637><U+0001F912><U+0001F92F>"
"19363";"Πάμε μωρή τρελή Σαββαταρα! "
"19364";"Μόνο τα μπινελίκια πιάνουν τόπο. Είναι η μόνη γλώσσα που καταλαβαίνουν οι θρασύδειλοι."
"19365";"Όταν έχεις ανεβασμένη διάθεση, καλεσμένους που έχουν πολλά να πουν και καυτά gossip τότε όλα είναι #kalytera! "
"19366";"Η θεια Ολγα ξερει  "
"19367";"Το κόκκινο γράφει: ""χωρίς προστατευτικά μέτρα"". Το μπλε: ""με προστατευτικά μέτρα"". Αριστερά: ο αριθμός κρουσμάτων. Κάτω: καιρός από το πρώτο κρούσμα. η οριζόντια γραμμή: ""χωρητικότητα"" του συστήματος υγείας. Το να επιβραδύνουμε την εξάπλωση του ιού είναι πολύ σημαντικό!"
"19368";""
"19369";"Εμας χτύπησαν σήμερα το πρωί! #κορονοιος "
"19370";"@GiannaIoa Φαντασου πεθερα να μιλαει με τετοια προφορα και να εισαι Αθηναιος...ανατριχιαζω"
"19371";"Coronavirus shock&gt;Οι Αμερικανοί αγοράζουν χαρτί υγείας σαν να μην υπάρχει αύριο "
"19372";"Αυτά τα τουρκικά οχήματα χρηματοδοτούνται κατά 75% από την ΕΕ. Ξέρετε γιατί; Για την αντιμετώπιση της λαθρομετανάστευσης. Μήπως να σταματήσουμε να είμαστε ευγενικοί με τους Ευρωπαίους (που εδώ μας δουλεύουν ψιλό γαζί) και να απειλήσουμε με βέτο παντού; "
"19373";"ΑΚΡΙΒΩΣ "
"19374";"@Byzoskability χρονια πολλα!"
"19375";""
"19376";"@Theo90950852 Χρόνια σου πολλά <U+0001F339><U+0001F3F5>"
"19377";"Σαουδική Αραβία: Χειροπέδες σε τρία ανώτερα μέλη της βασιλικής οικογένειας "
"19378";"αντέχω ......... "
"19379";"Χαλοου παρέα!!!τι έχασα?πως είναι οι σημερινοί??μάλλον για άσχετους τους κόβω...<U+0001F92D><U+0001F92D>#adinamoskrikosgr"
"19380";"Πόσα νοσοκομεία περνούν το γραπτό «τεστ» του ΕΟΔΥ για τον κοροναϊό; "
"19381";"@nikolasfarao1 Ζωαααρα+ μάγκας"
"19382";"@Teletai_Mpouk ελέησον ! <U+0001F923><U+0001F923>"
"19383";"Μία από τις πρώτες δικηγόρους στον κόσμο: <U+02BC>λλαξε το νόμο που απαγόρευε στις γυναίκες να ασκήσουν το επάγγελμα και αγωνίστηκε για τα δικαιώματα των γυναικών - δικηγόρων "
"19384";"@KyrVonDoom Κατσε να το ψαξω <U+0001F602>"
"19385";"Δημοφάντης: Από την εξέγερση των νησιών στην παλλαϊκή κινητοπο... "
"19386";"#axia #axiagr #αξια #αξία #sxoleio #isovathmies #panellinies2020 #apofasi #panepistimio "
"19387";"Καλό Σαββατοκύριακο σε όλους! "
"19388";"ενηλικίωση είναι και το αναλαμβάνεις πάντα την ευθύνη των πράξεών σου, να στέκεσαι μπροστά από αυτό που είναι δικό σου και να το προστατεύεις. χωρίς φόβο και με πάθος."
"19389";"@teobeis Και το υπουργείο μεταναστευτικής πολιτικής είχε καταργηθεί κι επανασυστάθηκε. Ετσι πάνε αυτά."
"19390";"@Katselos Αυτό που πρέπει να δει η Εκκλησία είναι την συμπόρευση της με αντιδραστικά στοιχεία, όπως και την παράλληλη άνοδο της με εθνικιστικές στιγμές μίσους και αχρείαστου πόνου. Μπορεί και καλύτερα. Μπορεί να καλλιεργήσει το ακριβώς αντίθετο, τη θρησκευτική προσήλωση χωρίς το φόβο."
"19391";"#TVREPORT Προσωρινά εκτός MasterChef ο Πάνος Ιωαννίδης για προληπτικούς λόγους "
"19392";"@NIKSOTIROPOYLOS Γραφική μειοψηφία"
"19393";"Τότε να μη το κάνουμε ποτέ. "
"19394";"Την Μπαμπινα θέλουμε #StinIgiamas"
"19395";"Υπερπτήσεις τουρκικών F-16 πάνω από τους Λειψούς  "
"19396";"@dentinpaleuo Λιάγκα πήγαινε η στο κανάλι του προέδρου"
"19397";"@linakii13 @nick_fcb13 @JPriceup @karajohn_13 @CharisPap @pa_9 @gerrard8din @stratos_juve @EgwPouKsereis @Alain_Leroy_ @deltadrum1 @finn92m @anti_hero92 @Vassilis_Kant @koromvokis Τι κάθεσαι και εξηγείς στους άσχετους απορω"
"19398";"@GigiV46 Τα γνωρίζω"
"19399";"δεν κάνετε τερακότα, αλλά τεζακότα πολύ κρύο το χιούμορ #annitakoita"
"19400";"#Έβρος "
"19401";"@akisterzis @AsiBiliou Εσύ ακη σωστά διάβασες"
"19402";"Όλα αυτά χάρη στα καθ'ημάς toil, blood, sweat and tears, που έλεγε και ο πατερούλης - της Νίκης, όχι ο μουστάκιας - που παράτησε τη γερμανική αντεπίθεση για να φέρει Σπιτφαιερ στην Αθήνα"
"19403";"Τηλ. 215 5151681 - 6936504508"
"19404";"στη Θεσσαλονίκη μπίζνες με την Τουρκία"
"19405";"@chrysamyra Ντουκαν λέγεται <U+0001F61C><U+0001F60B><U+0001F601>"
"19406";"Μετά τη λήξη, πρέπει να επιστρέψει."
"19407";"O Sandro που επιλέχθηκε από το ΡΙΚ για να εκπροσωπήσει την Κύπρο στη φετινή Eurovision, παρουσιάζει το τραγούδι «Running» που κυκλοφορεί από την Panik Records #likewomangr #absolute_feminine_stories #eurovisioncy "
"19408";"Έχουν χάσει τον μπούσουλα. "
"19409";"@Mafaldadadaaaa Μπα θα πάρεις άλλον φωτογράφο; Ε Φ Υ Γ Ε Σ  Α Ν Τ Ι Ο  Τ Ε Λ Ο Σ"
"19410";"Ριχτε βρε μια ατομικη <U+0001F4A3> να τελειώνει το θεμα. "
"19411";"Αν το 1936-40 είχαμε συγκυβέρνηση"
"19412";"@Kalli64310369 @eftichia_v Ήθελα και γω να ρωτήσω αλλά της κάνω συχνά άκυρες ερωτήσεις οπότε κρατήθηκα.<U+0001F602>"
"19413";"Μια και έξω!"
"19414";""
"19415";"Κ εκεί που χάνανε τρελες ευκαιρίες τη μια μετα την άλλη..Μπορεί για 20 λεπτά να γιναν κ μόλις 2 φάσεις απο την ωρα που έπαιξα να μπει ένα γκολ στο παιχνίδι!! Μαλιστααααααα"
"19416";"Όλα όσα μας ενοχλούν στους άλλους μπορούν να μας οδηγήσουν στην κατανόηση του εαυτού μας."
"19417";"@papadimoulis @bogdanosk Η σωστή σειρά είναι απαντώ στο ερώτημα και μετα χαρακτηρίζω. Όταν μόνο χαρακτηρίζω, δεν είναι δημόσιος διάλογος, είναι διάλλειμα σε δημοτικό σχολείο"
"19418";"@papas_spiros @dimitrisxy @kanekos69 @yX__ @stamatismalelis @KostasZark Αν ηταν το παιδι σας το ιδιο θα λέγατε?"
"19419";"ΚΟΚΚΙΝΗ ΠΕΝΑ: ΑΦΩΝΙΑ "
"19420";"Όλοι οι υπόλοιποι είναι σε σταθερή κατάσταση και η επιτήρηση της υγείας τους συνεχίζεται, 22 εξ<U+0092> αυτών νοσηλεύονται σε Αττική, Θεσσαλονίκη και Πάτρα και 43 παραμένουν σε απομόνωση στην οικία του"
"19421";"1) Παρέμβαση με γιγαντοπανό στο κτήριο της περιφέρειας ενόψει της πορείας ενάντια στην καύση των σκουπιδιών"
"19422";"@dmanos2 Κάνανε κι ένα καλό...<U+0085>.."
"19423";"@serkot65 Σαν το ναρκοπέδιο!!! δεν υπάρχει..."
"19424";"2. Ότι ακριβώς οι ίδιοι θα κάνουν σε λίγα χρόνια τους ανήξερους και τους αντιστασιακούς "
"19425";"@jedijig @gagaouga @panosdimos @kgiannakidis Το ρίσκο για την υγεία όσων ταυτόχρονα χρησιμοποιούν το ίδιο κουτάλι (με το στόμα) δεν είναι ψευδοεπιστήμη. Είναι επιστημονικά τεκμηριωμένο χρόνια τώρα και η αποφυγή τέτοιων πρακτικών ενταγμένη στους κανόνες υγιεινής."
"19426";"@T_Bazotis @loukilacarrer1 @Smile38445784 Χρόνια πολλά...χρόνια καλά!"
"19427";"@tasS_O_S Η Θουριγγία της Ελλάδος."
"19428";"@rapidis Έχεις πάει σε κάνα γιατρό ?? Σοβαρά τώρα ."
"19429";"Πείτε μας κάτι κυρία @FofiGennimata  για την ανάρτηση της @EvaKaili . Θα ακολουθήσετε τον ίδιο δρόμο ή θα συνεχίσετε να είστε η ουρά του #syriza_xeftiles "
"19430";"«Μόλις χρηματοδοτηθήκαμε αδρά για να γίνουμε για πάντα η aspida, ο μικρονοϊκός bodyguard μιας Ευρώπης»"
"19431";"Πείτε ρε ένα ελληνικό ηλεκτρονικό μέσο που εμπιστεύεστε για την ενημέρωσή σας."
"19432";"@thanasisnostimo Περιμένουμε προσφορές απο τα κορίτσια, ποιον θα πρωτο πάρουν σπίτι τους να φροντίσουν"
"19433";"Καλο  απόγευμα. "
"19434";"#GOSSIP Κορωνοϊός: Βασίλης Καρράς και Γιάννης Πλούταρχος σταματούν πρόωρα τις εμφανίσεις τους "
"19435";"Αυτοί οι προδότες ήσασταν πάντα. Αυτοί είστε και σήμερα!"
"19436";"Πιτίνο: ""Θα πάρω τους παίκτες... στον τάφο μου"" "
"19437";"@FKatsakis Ευχαριστώ πολύ Φαιη μου, να είσαι καλά <U+0001F917><U+0001F60A><U+2764><U+FE0F><U+0001F370>"
"19438";"Πάω ένα ραν γιατί θα παλαβώσω αλλιώς..<U+0001F3C3><U+0001F3FD><U+200D>><U+FE0F>"
"19439";"ΤΟΥΡΚΟ ΚΟΡΟΝΟΙΟΣΑΕΡΟΠΟΡΙΚΟΣ/ΩΣ<U+0001F6EC><U+0001F6EC> "
"19440";"@entheto Και 54 δεν είσαι παππούς εκτός και αν εσύ τον βλέπεις γιατί είσαι 15"
"19441";"@BKoufontinas Έκθεση;"
"19442";"@nuxtoVios Ούτε τον κορωναϊο;"
"19443";"@CallLyda @giannMak @rapidis Ο @giammMak αναφέρεται σε ανταπόκριση του Μ. Κωστίδη, δημοσιογράφου του ΣΚΑΙ, από τα Τουρκικά σύνορα, όπου τις τελευταίες ημέρες κάνει συνεχές ρεπορτάζ. Το video αυτό μεταδόθηκε στην εκπομπή ΣΗΜΕΡΑ και στα δελτία ειδήσεων του καναλιού."
"19444";"Ποιά είναι η είδηση;; "
"19445";"6η Μαρτίου Πανελλήνια Σχολική Ημέρα κατά της Βίας στο σχολείο.... Η άγρια βία της επίθεσης του συστήματος και η υποκρισία περί bullying  "
"19446";"@colonakin Πόσο γλυκός ο ελέφαντας <U+0001F418>"
"19447";"@antmerk2 Ναι. :)"
"19448";"Τι έχετε να πείτε μετά από αυτό? #love #friends #instagood #instadaily #life #daily #animals #hugs #kiss #video #happy #smile #mood #positivevibes #amazing #blessed #makattack "
"19449";"Μηταράκης: Τέλος τα επιδόματα στους πρόσφυγες που έχουν πάρει άσυλο "
"19450";"Έδει δει ο Ερντογάν τα video που δείχνουν τους βασανισμούς των προσφύγων από την στρατοχωροφυλακή ::::"
"19451";"@valiapaps @stefdeepgreen Εγώ δεν είπα τίποτα. Αυτός."
"19452";""
"19453";"Τηλεθέαση: Εκτοξεύτηκε στο 46,9% το MasterChef "
"19454";"@kuriakigian @c2cMeEha22lnE1n @Eytyxismenh1 @EAdamopoulou Εδώ σήμερα είχαμε καλό καιρό. Βροχές από αύριο το απόγευμα."
"19455";"@gidovoskos12 Θα τους απελαύνουν."
"19456";"Αυτές είναι μερικές από πιο παράξενες τροφές στην ανθρώπινη ιστορία "
"19457";" "
"19458";"@dmkbg Να είσαι καλά. Θενκς.<U+0001F917><U+2764><U+0001F64F>"
"19459";"@taniertoxotis Μιλ μερσί, Τάνια μου.<U+2764><U+0001F917><U+0001F64F>"
"19460";"#Περαία #peraia #Πιερία #pieria  #preveza #Πρέβεζα  #Πτολεμαΐδα #ptolemaida #Πύργος #pyrgos #Ραφήνα #rafina #Ρέθυμνο #rethymno #Ροδόπη #rodopi #rodos #Σαλαμίνα #salamina #Σέρρες #serres #Σπάρτη "
"19461";"@john_wayne_gr Όταν γράφεις για εθνικά θέματα στις μέρες μας, είναι λογικό κ αναμενόμενο. <U+02BC>πειροι οι αμόρφωτοι κ ηλίθιοι, τόσο από δεξιά, όσο κ από αριστερά. Κ όλοι αυτοί, με το όπλο του πληκτρολογίου στο ένα χέρι. Στο άλλο ζαμπονοτυροπιτα."
"19462";"Ο «θάνατος του Μοχάμεντ Αλ <U+02BC>ραμπ» και η αναζήτηση της αλήθειας "
"19463";"Καλο Σαββατοκύριακο. "
"19464";"@JosVerstappen2 Όντως εξαιρετική σε όλα τα επίπεδα."
"19465";"Συνεχίζει να προκαλεί η Τουρκία: Κατηγορεί την ΕΕ ότι χρησιμοποιεί τους μετανάστες ως πολιτικό εργαλείο "
"19466";"Απρόβλεπτος, ανεξήγητος......"
"19467";"στο κάλπικο δίλημμα του αντιπάλου"
"19468";"@FKatsakis @Arxontas_tokas Ωωωω!! ΝΑΙ!!!"
"19469";"<U+02BC>ρθρο μου στη Free Sunday"
"19470";"@valiapaps <U+02BC>κουγες στα νιάτα σου Αντυπα;"
"19471";""
"19472";"ΣΥΡΙΖΑ: ""Εμείς φυλάγαμε τα σύνορα καλύτερα από τη ΝΔ. Μύγα δεν περνούσε""  Δημήτρης Βίτσας στο ΘΕΜΑ 104.6: "
"19473";"Κι ο Τούρκος που δεν μπορεί πλέον να στείλει τις ορδές των Λάθρο λόγω κλειστών συνόρων, έβγαλε απαγόρευση για να πει πριν τις Βρυξέλλες ότι δεν είναι αποτέλεσμα των κλειστών συνόρων οι 0 ροές αλλα λόγω απαγόρευση &amp; εφαρμογής της συμφωνίας με ΕΕ."
"19474";"Κωστάκη συστήνω μπόλικο"
"19475";"@plebeos <U+02BC>νοιξε το να κάνουμε ριτουι το συγκεκριμένο και ξανακλειστο."
"19476";"Τελικά ούτε fake news ήταν αλλά ούτε ""πειραγμένο"" το video «Ένοικος του City Plaza νεκρός από πυρά στον Έβρο» - «Ο φίλος μας ο Μουχάμαντ από το 611» "
"19477";"@FlyingDonkeyGR Αυτό το τσούρμο των φτωχών ηλιθιων ψάχνουν να βρουν κι άλλους φτωχούς ηλίθιους ώστε όπου γυρίζουν να κοιτάνε να βλέπουν φτωχούς ηλίθιους για να παίρνουν την εντύπωση ότι όλοι είναι φτωχοί ηλίθιοι σαν αυτούς, και έτσι να μην αντιλαμβάνονται ότι είναι φτωχοί ηλίθιοι."
"19478";"@Elenileon3 Οι ανθελληνας φασίστες του εξωτερικού"
"19479";"@jason_bigcock69 Γαμω τα ψωλοκεφαλα έχεις μάγκα"
"19480";"@ximion3 Γίδι Ραπίδη?"
"19481";"@Thodor1s χρόνια σου πολλά !!"
"19482";"Κάτι λάθος θα νόμιζα εγώ "
"19483";"@NikosVrOfficial Το θεωρώ απίθανο, θα μάθουμε σε λίγο."
"19484";"Καλημέρα, ζωντανά μαζί σας στην αγαπημένη μας ώρα, στην #ώρα_του_φορολογούμενου "
"19485";"Όχι,αλήθεια μπερδευτηκα!Πώς είναι δυνατόν ένας παίκτης να ευθύνεται για ζημιές?Τι έκανε?Λάθος μελέτη και βγήκε κακό το φάρμακο της Βιανεξ?Που έχουμε ξαναδεί αναπροσαρμογές συμβολαίων γι αυτό το λόγο?Απίθανα πράγματα.Ειναι μια οικονομική ""επιστροφη με πουλμαν"",οπως μετά τη Φενέρ?"
"19486";"β) υπήρχε μέχρι προχθές διάταξη που είχε ""περάσει"" ο Σύριζα ότι με μόνο 3 έτη νόμιμη παραμονή μπορούσαν να κάνουν αίτηση για απόδοση Ιθαγένειας ! Εσύ θα έφευγες?  Προχθές με τροπολογία το ανέβασαν στα 7"
"19487";"ΣΕΠΕ: Καταχώρηση προγενέστερων επισκέψεων Τεχνικών Ασφαλείας "
"19488";"@Bati_Goal77 Όχι δεν εννοώ όταν θα γίνουν εκλογές ,εμείς άλλωστε"
"19489";"@hlektronio o Σαμαράς ως κυβέρνηση δεν κρύφτηκε ποτέ πως ήταν hardcore δεξιοί, αυτός εδώ φοράει μανδύα φιλελεύθερου και μετριοπαθούς ενώ είναι βαθιά συντηρητικά δεξιοί γι' αυτό τους σιχαίνεσαι πιο πολύ"
"19490";"2) Τίρανα: 503"
"19491";"@EllNikos Για τον Μαρινάκη λες;"
"19492";"@AlexAv0805 @minas_kat7 @navahospetses Τον υπό έλεγχο Αλεξ, μην ανησυχείς"
"19493";"@rUL5Go5pVVgL1iI Σέ Ευχαριστώ πολύ!! Αντευχομαι καί για σένα το ίδιο!!!"
"19494";"@dee_kostopoulos @JnantinR @sexyprovataki Δεν έγραψε κανεις τιποτα σε ντιεμ ρεεεεε, πως μας πετσόκοψες Έτσι ρε συ<U+0001F602>"
"19495";"Αξιόπιστη πληροφόρηση: Ναι<U+2757><U+FE0F>Η κατάσταση αλλάζει ταχύτατα. Αλλά δεν υπάρχει λόγος για πανικό ή παραπληροφόρηση."
"19496";" 8/8 "
"19497";"Σας μάθαμε σύντροφε.."
"19498";"Το τραγούδι για μένα είναι η όμορφη πινελιά της ζωής..<U+0001F3B6><U+0001F3A4><U+0001F3B5><U+0001F4FA><U+0001F495><U+0001F495> "
"19499";"@to_loukoumaki_s Προσωπικά ο καλύτερος τρόπος πιστεύω είναι απλά να πεις «παιδιά να το διαλύσουμε τώρα γιατί αύριο πρέπει να ξυπνήσω νωρίς και έχω ακόμα δουλειές να κάνω»"
"19500";"Καλημέρα Σάββατο, ψάχνουμε αχτίδες αισιοδοξίας! "
"19501";"Ωραίο "
"19502";"Έμιλυ Ντίκινσον Ι ""Περί έρωτος [Επιστολές]"" Ι Εκδόσεις Κοβάλτιο"
"19503";NA
"19504";NA
"19505";NA
"19506";NA
"19507";NA
"19508";NA
"19509";NA
"19510";"Θα σε έφτυνα αλήτη, αλλά φοβάμαι μην σε κολλήσω τίποτα και ζω με τύψεις κι ενοχές."
"19511";"Τα δυο «ΕΠΑΝΑΛΑΜΒΑΝΩ»..... "
"19512";"@Thalassinh Κανε πως βηχεις μη καθησει κανενας διπλα σου<U+0001F602><U+0001F602>κ ανοιξε παραθυρο"
"19513";"εχθροι τις  πατριδος μας ."
"19514";"@machiavelli_gr Τεσταρουν ανακλαστικά γιατί δε περίμεναν να βρουν αντίσταση με τους μετανάστες, όχι ότι δεν μας έχουν για πλάκα έτσι και αλλιως"
"19515";"@AchillesFT Ναι αλλά θα την στείλεις αύριο εκκλησία, πρώτη γραμμή...βοήθεια μας..<U+0001F601><U+0001F601><U+0001F602>"
"19516";"@xletsa Νόμιζα ότι ετοίμαζες μαραθώνιο..<U+0001F609>"
"19517";"#Μαξίμου #covid19greece"
"19518";"@NIKSOTIROPOYLOS @velopky @nikosmc81 @StaurosZaf @billgramm74 @nmitarakis @syriza_gr @neademokratia Αντισηπτικό, νόμιμο και ελληνικό - γιατί είναι αλήθεια κατακριτέο; Από πού θεωρείται λογικό επιχείρημα; Είναι χειρότερο από το να υπερχρεώνεις, να χρεοκοπείς κ να ξεπουλάς την πατρίδα σου; 'Η μήπως θεωρείτε πως η χρεοκοπία ήταν θέσφατο; Η δική  μου λογική λειτουργεί διαφορετικά."
"19519";"Κορονοϊός: Στην Ελλάδα οι Γιαννιώτες εκδρομείς από το Ισραήλ - Σε κατ&amp;#39; οίκον περιορισμό όλο το γκρουπ "
"19520";"Πχ μπορεί να μην θες μια σχέση σοβαρή και σου αρέσει ένας άντρας που είναι παντρεμένος άνετα τον έχεις μόνο για σεξ και συνεχίζεις τις καθημερινές ασχολίες σου."
"19521";"<U+0093>Δεν εξαντλούμε τον αγώνα μας"
"19522";" "
"19523";"Πάνω από 1000 άτομα στην ίδια αίθουσα για 4ημέρες."
"19524";"Κορονοϊός: Νέο ύποπτο κρούσμα - Αυτή τη φορά στη Λαμία "
"19525";"@Tzeison_ @77_panagiotis Γεια σου ρε Θανάση μαγκιτη ωραίος!!!!!! "
"19526";"@xsou81 Ευχαριστώ ρε"
"19527";"Οι συνθήκες με οδήγησαν στο θαυμαστό κόσμο του open source και του linux."
"19528";" "
"19529";"@harris_stavrou @vastemp "
"19530";"@katia0 Φυσικά Κάτια, αυτό λέω. Οφείλουμε να είμαστε δύσπιστοι απέναντι σε όλους. Βεβαίως, αν εγώ σε κατηγορήσω ότι με χτύπησες, δεν μπορεί να απαιτούμε από εσένα να αποδείξεις ότι δεν το έκανες. Θα πρέπει εγώ να έχω στοιχεία ότι σε κατηγορώ βάσιμα."
"19531";"Just favorited ""Τατουάζ στον Παράμεσο #7: Για μία περμανάντ"" by Νεφέλη Αρδίττη on Mixcloud "
"19532";"Μεγαλύτερα κότσια να είσαι καλός.."
"19533";"@kyrosgranazis_ Και λίγα λες"
"19534";"@yanisvaroufakis Οι γονείς μου όταν πήγαν Αυστραλία, εξετάσθηκαν ιατρικά, τους προσφεραν εργασία πριν πάνε και γενικά ακολουθήσαν διαδικασία εισαγωγής, όπως και εσείς άλλωστε στην Αυστραλία, Αυτοί όλοι γιατί να μπαίνουν παράνομα (Αφγανοί πχ) χωρίς εξετάσεις κλπ σε μια χώρα με 23% ανεργία?"
"19535";"Σαλάτα με Μανιτάρια και Ανθότυρο "
"19536";"@Tsikou_ Τα έσοδα πάνε στο υπουργείο οικονομικών, όχι με απευθείας ανάθεση σε ταξιδάρες κουικ. Νομίζω αυτό όντως άλλαξε, δεν έχω δει υφυπουργό της ΝΔ να κάνει τόσες ταξιδάρες, οπότε το άλλαξε, μπράβο, κατάφερες να επιβεβαιώσεις ακόμα και τον κυρανάκη :P"
"19537";"@stamatismalelis 49 ολοκληρα ρετουιτς, δημοσιογραφος με επιρροη οχι αστεια...."
